Scientific.Name,Longitude,Latitude,Country
Lutjanus gibbus,130.217222,31.310833,JP
Lutjanus gibbus,129.846667,29.840278,JP
Lutjanus gibbus,145.892969,-16.225801,AU
Lutjanus gibbus,115.577374,-8.246956,ID
Lutjanus gibbus,32.901876,-26.829796,MZ
Lutjanus gibbus,145.644166,-16.044845,AU
Lutjanus gibbus,153.14867,-26.613557,AU
Lutjanus gibbus,173.400026,0.238991,KI
Lutjanus gibbus,173.405971,0.230777,KI
Lutjanus gibbus,171.186955,8.500796,MH
Lutjanus gibbus,115.456825,-8.715097,ID
Lutjanus gibbus,-149.322772,-17.752135,PF
Lutjanus gibbus,166.438138,-22.494024,NC
Lutjanus gibbus,166.43767,-22.300286,NC
Lutjanus gibbus,121.584795,23.596365,TW
Lutjanus gibbus,172.70031,3.20935,KI
Lutjanus gibbus,72.70934,3.879382,MV
Lutjanus gibbus,172.9898,1.733592,KI
Lutjanus gibbus,72.933425,3.555429,MV
Lutjanus gibbus,-151.784722,-16.50059,PF
Lutjanus gibbus,-151.784636,-16.500322,PF
Lutjanus gibbus,145.894259,-16.190762,AU
Lutjanus gibbus,73.427712,4.28347,MV
Lutjanus gibbus,-149.892226,-17.482252,PF
Lutjanus gibbus,149.15,-16.966667,AU
Lutjanus gibbus,-149.855652,-17.481634,PF
Lutjanus gibbus,145.450216,-14.660778,AU
Lutjanus gibbus,145.463777,-14.668043,AU
Lutjanus gibbus,121.774045,23.600971,TW
Lutjanus gibbus,178.056427,-18.367152,FJ
Lutjanus gibbus,121.643768,23.69435,TW
Lutjanus gibbus,113.54189,-22.75754,AU
Lutjanus gibbus,115.595086,-8.272785,ID
Lutjanus gibbus,73.010707,2.742075,MV
Lutjanus gibbus,153.145671,-26.616738,AU
Lutjanus gibbus,39.988889,-3.381445,KE
Lutjanus gibbus,34.739102,25.339328,EG
Lutjanus gibbus,130.627443,-0.587622,ID
Lutjanus gibbus,167.176584,-15.612829,VU
Lutjanus gibbus,145.896623,-16.213492,AU
Lutjanus gibbus,145.933623,-16.681866,AU
Lutjanus gibbus,149.132287,-16.985527,AU
Lutjanus gibbus,120.082,15.016,PH
Lutjanus gibbus,121.538,15.845,PH
Lutjanus gibbus,121.02,14.657,PH
Lutjanus gibbus,146.23537,-16.8517,AU
Lutjanus gibbus,145.446052,-14.66573,AU
Lutjanus gibbus,130.65758,-0.569853,ID
Lutjanus gibbus,145.973098,-16.757518,AU
Lutjanus gibbus,130.621044,-0.553945,ID
Lutjanus gibbus,149.132988,-16.984729,AU
Lutjanus gibbus,55.809908,-4.316485,SC
Lutjanus gibbus,149.132974,-16.984416,AU
Lutjanus gibbus,168.261775,-17.696218,VU
Lutjanus gibbus,145.45239,-14.659157,AU
Lutjanus gibbus,39.562695,-8.570945,TZ
Lutjanus gibbus,149.132662,-16.985548,AU
Lutjanus gibbus,149.195319,-16.938917,AU
Lutjanus gibbus,143.950439,-13.064339,AU
Lutjanus gibbus,177.828835,-18.255326,FJ
Lutjanus gibbus,149.139014,-17.002128,AU
Lutjanus gibbus,-145.463884,-16.515636,PF
Lutjanus gibbus,130.656778,-0.570195,ID
Lutjanus gibbus,145.454078,-14.646038,AU
Lutjanus gibbus,171.184137,8.499457,MH
Lutjanus gibbus,-149.856032,-17.481831,PF
Lutjanus gibbus,149.132082,-16.985523,AU
Lutjanus gibbus,149.201498,-16.941051,AU
Lutjanus gibbus,149.137984,-16.984234,AU
Lutjanus gibbus,72.800851,3.488649,MV
Lutjanus gibbus,-149.924988,-17.49165,PF
Lutjanus gibbus,179.097573,-8.608397,TV
Lutjanus gibbus,156.95156,-8.15364,SB
Lutjanus gibbus,157.99971,-8.79491,SB
Lutjanus gibbus,156.96435,-8.15997,SB
Lutjanus gibbus,158.20226,-8.80791,SB
Lutjanus gibbus,156.95832,-8.15584,SB
Lutjanus gibbus,156.97002,-8.1639,SB
Lutjanus gibbus,158.31793,-8.78823,SB
Lutjanus gibbus,157.46452,-8.74172,SB
Lutjanus gibbus,156.96211,-8.19954,SB
Lutjanus gibbus,157.43451,-8.71755,SB
Lutjanus gibbus,158.27533,-8.75722,SB
Lutjanus gibbus,157.01547,-8.10551,SB
Lutjanus gibbus,156.9594,-8.05163,SB
Lutjanus gibbus,157.00429,-8.09952,SB
Lutjanus gibbus,157.50044,-8.70739,SB
Lutjanus gibbus,158.2869,-8.7554,SB
Lutjanus gibbus,158.25349,-8.78811,SB
Lutjanus gibbus,156.9684,-8.06641,SB
Lutjanus gibbus,156.98335,-8.08395,SB
Lutjanus gibbus,156.96129,-8.13627,SB
Lutjanus gibbus,156.97793,-8.07842,SB
Lutjanus gibbus,156.97221,-8.07216,SB
Lutjanus gibbus,156.99671,-8.09459,SB
Lutjanus gibbus,179.093739,-17.11151,FJ
Lutjanus gibbus,166.446433,-22.481829,NC
Lutjanus gibbus,39.562653,-8.571977,TZ
Lutjanus gibbus,130.738025,-0.506563,ID
Lutjanus gibbus,119.337683,-17.249876,AU
Lutjanus gibbus,145.980364,-16.466718,AU
Lutjanus gibbus,46.20995,-9.374625,SC
Lutjanus gibbus,46.2113,-9.37232,SC
Lutjanus gibbus,46.31575,-9.36692,SC
Lutjanus gibbus,39.384256,-4.658923,KE
Lutjanus gibbus,166.436,-22.3,NC
Lutjanus gibbus,34.740116,25.337246,EG
Lutjanus gibbus,145.995815,-16.42253,AU
Lutjanus gibbus,73.0102,2.742432,MV
Lutjanus gibbus,-147.634458,-14.976774,PF
Lutjanus gibbus,144.795323,13.508602,GU
Lutjanus gibbus,156.966674,-8.062686,SB
Lutjanus gibbus,168.261995,-17.696542,VU
Lutjanus gibbus,134.382427,7.276675,PW
Lutjanus gibbus,140.368518,8.159747,FM
Lutjanus gibbus,-147.924683,-15.099622,PF
Lutjanus gibbus,39.377377,-4.65782,KE
Lutjanus gibbus,145.99033,-16.42781,AU
Lutjanus gibbus,165.923338,-22.015463,NC
Lutjanus gibbus,166.29235,-22.30647,NC
Lutjanus gibbus,120.009722,8.925278,PH
Lutjanus gibbus,115.592968,-8.274041,ID
Lutjanus gibbus,146.232473,-16.850296,AU
Lutjanus gibbus,73.426947,-0.296042,MV
Lutjanus gibbus,171.142678,8.236907,MH
Lutjanus gibbus,73.554135,4.297214,MV
Lutjanus gibbus,73.55406,4.297214,MV
Lutjanus gibbus,39.996471,-3.375668,KE
Lutjanus gibbus,179.941852,-16.763672,FJ
Lutjanus gibbus,146.272494,-16.78867,AU
Lutjanus gibbus,179.903264,-16.724331,FJ
Lutjanus gibbus,72.958527,3.634062,MV
Lutjanus gibbus,129.719364,28.463618,JP
Lutjanus gibbus,168.25,-17.7,VU
Lutjanus gibbus,-149.845101,-17.476353,PF
Lutjanus gibbus,-179.804345,-16.77457,FJ
Lutjanus gibbus,145.970303,-16.758518,AU
Lutjanus gibbus,145.893697,-16.225186,AU
Lutjanus gibbus,73.058953,5.297289,MV
Lutjanus gibbus,132.7186,-10.31436,AU
Lutjanus gibbus,113.5,-28.5,AU
Lutjanus gibbus,-139.383333,-9.45,PF
Lutjanus gibbus,145.466667,-14.666667,AU
Lutjanus gibbus,-147.645278,-15.125278,PF
Lutjanus gibbus,127.927778,26.479444,JP
Lutjanus gibbus,122.9315,-12.2525,AU
Lutjanus gibbus,123.15033,-12.211,AU
Lutjanus gibbus,123.103,-12.293,AU
Lutjanus gibbus,119.36532,-17.25985,AU
Lutjanus gibbus,121.88827,-13.88242,AU
Lutjanus gibbus,123.15907,-12.23258,AU
Lutjanus gibbus,119.37376,-17.27058,AU
Lutjanus gibbus,121.91909,-14.17009,AU
Lutjanus gibbus,121.97846,-14.11224,AU
Lutjanus gibbus,121.974,-14.12254,AU
Lutjanus gibbus,121.89605,-13.89087,AU
Lutjanus gibbus,123.05058,-12.17861,AU
Lutjanus gibbus,121.93177,-14.16254,AU
Lutjanus gibbus,121.94748,-14.15218,AU
Lutjanus gibbus,122.95383,-12.26616,AU
Lutjanus gibbus,121.9351,-13.93829,AU
Lutjanus gibbus,121.96237,-14.13956,AU
Lutjanus gibbus,121.92625,-13.93538,AU
Lutjanus gibbus,118.97383,-17.55547,AU
Lutjanus gibbus,121.87791,-13.87679,AU
Lutjanus gibbus,123.03054,-12.29891,AU
Lutjanus gibbus,118.97388,-17.55101,AU
Lutjanus gibbus,121.94086,-13.94646,AU
Lutjanus gibbus,122.94912,-12.22884,AU
Lutjanus gibbus,118.97425,-17.54777,AU
Lutjanus gibbus,122.976,-12.27483,AU
Lutjanus gibbus,121.98128,-14.09733,AU
Lutjanus gibbus,121.90437,-13.90453,AU
Lutjanus gibbus,122.9255,-12.24116,AU
Lutjanus gibbus,122.96924,-12.27099,AU
Lutjanus gibbus,119.35536,-17.24798,AU
Lutjanus gibbus,118.97501,-17.58563,AU
Lutjanus gibbus,123.09833,-12.29166,AU
Lutjanus gibbus,121.98094,-14.10235,AU
Lutjanus gibbus,118.97288,-17.61697,AU
Lutjanus gibbus,73.424817,5.492139,MV
Lutjanus gibbus,150.676944,-10.764444,PG
Lutjanus gibbus,169.966929,10.382254,MH
Lutjanus gibbus,73.424278,5.4941,MV
Lutjanus gibbus,151.294449,-33.800845,AU
Lutjanus gibbus,130.738665,-0.777885,ID
Lutjanus gibbus,114.15354,-21.78292,AU
Lutjanus gibbus,114.77282,-21.53114,AU
Lutjanus gibbus,123.14368,-12.22362,AU
Lutjanus gibbus,123.15187,-12.22563,AU
Lutjanus gibbus,123.10073,-12.25447,AU
Lutjanus gibbus,123.00856,-12.22929,AU
Lutjanus gibbus,123.00676,-12.25243,AU
Lutjanus gibbus,123.01442,-12.20783,AU
Lutjanus gibbus,123.0682,-12.29378,AU
Lutjanus gibbus,122.9815,-12.23916,AU
Lutjanus gibbus,123.14712,-12.26588,AU
Lutjanus gibbus,122.9861,-12.22025,AU
Lutjanus gibbus,123.04195,-12.24449,AU
Lutjanus gibbus,123.08504,-12.19635,AU
Lutjanus gibbus,123.08933,-12.2896,AU
Lutjanus gibbus,123.00498,-12.29025,AU
